,x,y,nom_commune,num_departement,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,pesticides et leurs métabolites,"métaux, métalloïdes et autres ions minéraux",hydrocarbures aromatiques polycycliques,substances chimiques industrielles (utilisation et/ou production),médicaments,"nitrates, nitrites et engrais azotés"
0,-2.955,48.617,Pléguien,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1,5.574,47.327,Chevigney,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
2,5.592,45.458,Saint-Sulpice-des-Rivoires,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3,5.666,45.506,Saint-Jean-d'Avelanne,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
4,6.71,45.503,La Plagne Tarentaise,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
5,2.978,47.041,Jouet-sur-l'Aubois,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
6,6.735,45.509,La Plagne Tarentaise,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
7,6.639,45.385,Courchevel,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
8,6.611,45.461,Montagny,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
9,6.197,47.287,Deluz,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
10,6.651,45.454,Bozel,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
11,6.571,45.451,Brides-les-Bains,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
12,2.556,48.258,Guercheville,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
